start	end	text
641	6325	Me avisas y empezamos a grabar. Me avisa Tomis Isleán que ya estamos grabando. Es decir,
6366	12030	que esto que están ustedes viendo es el inicio oficial de la tercera temporada del método.
12611	16154	Puede ser algunos anuncios de rigor. En principio, si me están viendo mejor,
16274	20258	no es solo porque yo año a año cada vez me veo mejor. Eso es una parte de la realidad.
20718	24882	La otra es que hemos sido iluminados por Photo Experience. No sé si lo ven. Hay una nueva apuesta
25022	25522	escénica,
26064	30006	en el método, que además va a ir mejorando con el tiempo, porque Photo Experience es la
30026	33247	casa de fotografía número uno del país. Eso es algo que también la gente tiene que saberlo.
33868	35008	Perdón, Tommy, ¿qué me hiciste?
35028	37509	Que tiene cursos.
37529	41191	Ah, pero Tommy, me extraña. Si estamos hablando de Photo Experience, sabemos sus cursos, sus
41211	45793	profesionales, sus profesores. Básate que si me vuelte eso, que no te escucho porque...
45813	47854	No, no, me linken en la descripción.
47874	51395	Y hay, por supuesto, link en la descripción para las personas que quieran adquirir los
51415	53156	productos de Photo Experience lo van a poder hacer.
54438	57501	va a ser un poco más así este año. Hay más chivos, hay más cosas que se van a ir enterando.
57741	61845	Yo no quiero restarle igual la posibilidad de intervenir en este momento al invitado
61865	68032	que tenemos el día de hoy. Me complace, me hace feliz, me enorgullece ser la bienvenida
68192	70034	al Negro Dolina. ¿Cómo estás, Alejandro?
70194	71315	Hola, ¿qué tal? ¿Cómo estás? Tomás.
71617	74419	Yo, en este momento, estoy exultante de felicidad.
74559	75600	Bueno, no parece.
75740	77402	No parece, estoy más serio todavía.
77762	81404	Si la gente exultante suele estar a los altos, suele ser...
81765	82846	Es una felicidad más estática.
82946	84427	Especialmente en los medios, ¿no?
84667	84887	Sí.
85668	90551	El hombre mediático está muy preocupado de que se le note su felicidad,
90571	94374	o en todo caso de transmitir una felicidad que acaso no siente.
95316	102483	Entonces, alta, jeticula, exagera, mueve las manos cuando ocena la música, ese tipo de cosas.
102783	107387	Bueno, pero acá tenemos, como vos habrás notado, un ensamble más, uno dice medio,
107427	111791	y uno piensa en medios, no sé si piensa en el método. El método es casi una pime, te diría,
111831	115395	es una intendencia familiar con acomodos, nepotismos, todo.
116597	122540	y está muy bien también. Cualquier cosa que eluda de algún modo la estética y a una ética de los medios
123100	130544	es bienvenida. Espectacular. Muchas gracias por venir acá. Este es de los episodios que yo siento
130564	135546	que tengo que arrancar con una suerte de confesión de parte porque a mí me pasa, o sea para ser
135566	141469	sincero, a mí me pasa que creo que son las personas que más me ha influido a mí política,
141589	145951	culturalmente, ideológicamente, artísticamente en un sentido muy amplio.
147552	151093	desde, no sé, tener 16 años y leer crónicas del Ángel Gris, ¿viste?
151173	155674	Entonces hay algo que a mí se me juega en esto, por eso digo, es una confesión de
155694	159215	parte, para que sepas con qué contas del otro lado. A mí se me juega, no sólo una
159255	163576	responsabilidad frente a quien esté mirando, que es menor, me importa un poco menos,
163896	167997	pero sí a quién fui, ¿viste? Hay un joven de 16 años que me está en este
168017	169917	momento tomando punto de lo que hago.
170938	174619	¿Y vos crees que ese joven tiene autoridad moral sobre ti?
174919	177160	Uff, quizás es quien más la tiene.
177180	178620	Yo creo lo contrario.
179100	181361	Yo era una persona tan poco recomendable,
181821	183381	cuando tenía 16 años,
184101	187702	que, en verdad, soy yo el que está continuamente juzgando
188162	189123	aquel chico que fui.
189303	191103	¿Lo lograste revertir entonces eso?
191143	195504	Como decía Homero Mansi, en un poema no muy conocido,
196965	199767	Él decía, si yo tuviera 10 años, bla, bla, bla.
200387	205390	Y dice, entonces, el niño que hay en mi hombría
205991	208592	mataría al hombre que hubo en mi niñez.
209533	210053	Excelente.
210113	214836	Y es verdad que muchos de nosotros, en forma precoz,
216477	218158	hemos contraído una...
220801	225805	una cierta condición de canalla, que después cuesta toda una vida lijar.
226165	227646	De purarlas, capas, también.
228307	230528	Puede ser, yo capaz lo asociaba a...
232631	239333	Quizás hay algo en la juventud, en esos primeros momentos, o en mi caso al menos, como estas
239393	246296	ínfulas de grandeza, de moralidad, de búsqueda, de los propósitos grandes que yo lo he encontrado,
246316	251497	por ejemplo en tu literatura, en tus premisas, en esas cosas, que me parece que una vez es
252638	258959	Siento que le rinde cuentas a ese niño, a esa persona que uno dijo que el que quiere ser cuando seas grande, ¿viste?
259900	264780	¿Vos te pasa que vos de chico querías ser el dolina que eso soy?
265040	270161	Yo de chico quería ser todo, de manera que era fatal que algún sueño se cumpliera.
271061	274482	Yo quería ser todo, era muy hospitalario con mis sueños.
275382	281683	Entonces tenía yo un umbral en mi casa de la Niñez, donde me sentaba,
282804	286445	con un pedazo de pan con manteca y azúcar.
286785	287045	Buenísimo.
287085	294287	Es un manjar que ahora es inaccesible al gusto de nuestro tiempo.
295788	297208	Y pensaba cosas.
297328	298049	A ver, ¿qué querías?
